filename,width,height,class,xmin,ymin,xmax,ymax
278.jpg,768,960,without_mask,19,4,510,439
279-with-mask.jpg,161,222,with_mask,27,38,139,154
28.jpg,396,511,without_mask,23,96,325,414
280.jpg,320,428,without_mask,52,74,296,378
281-with-mask.jpg,205,246,with_mask,38,69,174,214
281.jpg,205,246,without_mask,32,54,172,215
282-with-mask.jpg,320,428,with_mask,60,76,292,380
283.jpg,377,502,without_mask,88,100,311,345
284-with-mask.jpg,398,576,with_mask,92,98,375,407
285.jpg,365,418,without_mask,71,58,290,297
286-with-mask.jpg,320,428,with_mask,55,71,314,375
286.jpg,320,428,without_mask,49,81,313,373
287.jpg,327,433,without_mask,71,52,293,342
288-with-mask.jpg,320,428,with_mask,35,88,276,371
288.jpg,320,428,without_mask,34,68,275,365
289-with-mask.jpg,276,182,with_mask,89,47,185,164
289.jpg,276,182,without_mask,93,42,181,162
29-with-mask.jpg,320,428,with_mask,57,113,279,371
29.jpg,320,428,without_mask,42,86,271,375
290-with-mask.jpg,320,433,with_mask,30,137,281,359
290.jpg,320,433,without_mask,34,108,282,361
291-with-mask.jpg,225,225,with_mask,21,59,208,210
291.jpg,225,225,without_mask,24,34,203,213
292.jpg,341,382,without_mask,65,44,247,275
293-with-mask.jpg,320,428,with_mask,53,95,311,356
293.jpg,320,428,without_mask,44,65,286,360
294-with-mask.jpg,320,428,with_mask,36,75,297,382
294.jpg,320,428,without_mask,37,53,292,388
296-with-mask.jpg,320,433,with_mask,24,111,302,403
297-with-mask.jpg,313,449,with_mask,1,115,247,337
297.jpg,313,449,without_mask,18,60,242,347
298-with-mask.jpg,297,455,with_mask,1,91,268,414
299-with-mask.jpg,658,382,with_mask,152,32,380,251
299.jpg,658,382,without_mask,143,11,364,248
2ca869fa7b11fae2a0b15e83c318a164.jpg,1000,1500,with_mask,181,222,784,1067
3-ply-tie-on-surgical-mask-yellow-500x500.jpg,500,500,with_mask,73,88,432,494
3-with-mask.jpg,510,340,with_mask,211,39,312,156
3.jpg,320,433,without_mask,17,48,293,352
300full.jpg,300,388,without_mask,75,20,247,209
301-with-mask.jpg,363,395,with_mask,26,23,340,382
302-with-mask.jpg,320,428,with_mask,68,79,300,376
302.jpg,320,428,without_mask,65,97,304,374
303.jpg,280,461,without_mask,22,78,275,352
304-with-mask.jpg,320,428,with_mask,50,62,285,343
305-with-mask.jpg,545,597,with_mask,113,199,418,550
306.jpg,320,428,without_mask,37,78,282,365
308.jpg,189,266,without_mask,43,13,167,160
309-with-mask.jpg,320,428,with_mask,46,75,304,381
309.jpg,320,428,without_mask,46,63,304,385
31-with-mask.jpg,327,433,with_mask,67,42,286,345
311-with-mask.jpg,320,433,with_mask,46,61,287,347
313-with-mask.jpg,201,338,with_mask,10,82,174,251
314-with-mask.jpg,354,429,with_mask,37,80,288,327
315-with-mask.jpg,320,428,with_mask,42,99,285,380
315.jpg,320,428,without_mask,42,77,279,376
316.jpg,480,640,without_mask,59,35,314,337
316wzaj8NKL.jpg,250,250,with_mask,79,69,185,186
317.jpg,264,331,without_mask,38,30,207,261
32-with-mask.jpg,317,458,with_mask,54,104,216,289
32.jpg,317,458,without_mask,48,98,218,299
321.jpg,320,428,without_mask,39,68,275,378
322-with-mask.jpg,204,247,with_mask,61,6,166,150
322.jpg,204,247,without_mask,55,11,163,146
323-with-mask.jpg,225,225,with_mask,39,37,189,209
323.jpg,225,225,without_mask,42,34,184,210
324-with-mask.jpg,320,428,with_mask,48,94,295,368
325.jpg,327,433,without_mask,41,66,292,381
326.jpg,323,339,without_mask,50,76,251,302
327-with-mask.jpg,720,720,with_mask,214,154,671,698
327.jpg,720,720,without_mask,207,136,646,688
328.jpg,576,960,without_mask,161,217,381,442
329.jpg,437,400,without_mask,56,52,304,352
33-with-mask.jpg,259,194,with_mask,38,6,182,177
33.jpg,259,194,without_mask,41,12,184,180
330-with-mask.jpg,320,428,with_mask,42,62,291,376
330.jpg,320,428,without_mask,42,64,294,368
331-with-mask.jpg,327,433,with_mask,37,71,281,368
333-with-mask.jpg,320,428,with_mask,54,60,286,365
334-with-mask.jpg,191,263,with_mask,44,48,146,157
335-with-mask.jpg,188,268,with_mask,43,51,148,160
335.jpg,188,268,without_mask,36,42,162,165
336-with-mask.jpg,150,178,with_mask,14,5,142,158
338-with-mask.jpg,318,442,with_mask,52,89,284,391
338.jpg,318,442,without_mask,56,70,304,385
339-with-mask.jpg,353,554,with_mask,28,136,345,449
339.jpg,353,554,without_mask,42,113,343,452
34.jpg,194,259,without_mask,35,57,159,245
340.jpg,320,428,without_mask,53,53,253,349
343-with-mask.jpg,400,600,with_mask,128,146,295,349
345.jpg,320,428,without_mask,46,71,298,375
346-with-mask.jpg,400,436,with_mask,59,81,274,293
347-with-mask.jpg,183,275,with_mask,15,18,167,210
347.jpg,183,275,without_mask,25,24,165,194
348-with-mask.jpg,320,428,with_mask,38,77,292,371
348.jpg,320,428,without_mask,41,76,296,356
349-with-mask.jpg,356,549,with_mask,21,182,356,539
349.jpg,356,549,without_mask,20,131,356,496
35-with-mask.jpg,320,428,with_mask,51,37,292,354
350.jpg,225,225,without_mask,47,34,158,160
352.jpg,198,276,without_mask,45,51,161,191
353-with-mask.jpg,183,275,with_mask,50,14,159,152
354.jpg,289,277,without_mask,37,55,209,221
355-with-mask.jpg,441,385,with_mask,153,49,302,214
355.jpg,441,385,without_mask,147,46,305,229
358-with-mask.jpg,320,428,with_mask,28,50,291,372
36.jpg,167,230,without_mask,6,43,136,225
360.jpg,320,433,without_mask,53,68,290,353
361.jpg,320,433,without_mask,59,58,297,364
363.jpg,320,428,without_mask,57,72,286,383
364-with-mask.jpg,278,309,with_mask,23,40,185,207
364.jpg,278,309,without_mask,20,45,177,191
365-with-mask.jpg,275,183,with_mask,97,39,190,142
365.jpg,275,183,without_mask,89,28,191,141
366-with-mask.jpg,228,221,with_mask,84,22,188,163
367.jpg,320,428,without_mask,29,49,285,378
368-with-mask.jpg,363,408,with_mask,68,118,254,305
37-with-mask.jpg,191,213,with_mask,41,34,126,138
370.jpg,320,428,without_mask,48,84,288,386
372.jpg,320,428,without_mask,40,69,286,386
373.jpg,205,246,without_mask,50,49,160,179
374.jpg,336,427,without_mask,35,110,255,339
375-with-mask.jpg,291,384,with_mask,42,84,223,287
375.jpg,291,384,without_mask,45,72,232,295
376-with-mask.jpg,320,428,with_mask,53,102,298,363
376.jpg,320,428,without_mask,54,63,304,375
37636006-sick-little-girl-with-surgical-face-mask-for-bacter.jpg,1300,861,with_mask,371,90,909,646
377-with-mask.jpg,183,275,with_mask,54,38,136,135
378-with-mask.jpg,299,168,with_mask,125,1,289,130
379-with-mask.jpg,245,206,with_mask,52,27,189,166
379.jpg,245,206,without_mask,64,25,181,177
38-with-mask.jpg,320,433,with_mask,32,71,293,369
381-with-mask.jpg,320,433,with_mask,41,64,284,341
383-with-mask.jpg,320,428,with_mask,26,90,298,422
383.jpg,320,428,without_mask,28,79,296,420
384-with-mask.jpg,278,181,with_mask,67,18,139,91
385.jpg,275,183,without_mask,117,41,160,104
386-with-mask.jpg,408,411,with_mask,115,138,298,297
386.jpg,408,411,without_mask,120,114,284,283
387-with-mask.jpg,258,195,with_mask,74,47,173,164
387.jpg,258,195,without_mask,71,40,172,168
388.jpg,320,433,without_mask,46,72,281,364
389.jpg,195,259,without_mask,42,44,156,159
39-with-mask.jpg,320,428,with_mask,39,80,278,351
390-with-mask.jpg,320,428,with_mask,37,51,292,365
390.jpg,320,428,without_mask,58,57,271,353
392-with-mask.jpg,320,428,with_mask,27,93,294,387
392.jpg,320,428,without_mask,16,60,303,386
393-with-mask.jpg,467,518,with_mask,83,80,357,372
393.jpg,467,518,without_mask,73,74,349,364
394-with-mask.jpg,320,428,with_mask,36,62,289,388
394.jpg,320,428,without_mask,28,57,293,382
395-with-mask.jpg,168,299,with_mask,19,33,164,214
395.jpg,168,299,without_mask,27,33,156,201
396-with-mask.jpg,320,428,with_mask,45,48,298,398
397-with-mask.jpg,320,428,with_mask,30,54,291,345
397.jpg,320,428,without_mask,43,61,280,333
398-with-mask.jpg,320,433,with_mask,45,62,292,361
398.jpg,320,433,without_mask,19,30,298,361
399-with-mask.jpg,320,428,with_mask,29,58,285,382
39a923aa.jpg,1200,675,with_mask,386,194,594,459
3a7f1529ad61ce21cd446b31e669b13f.jpg,477,720,without_mask,58,108,421,570
4-with-mask.jpg,311,429,with_mask,31,90,290,373
4.jpg,232,217,without_mask,36,22,190,207
40-with-mask.jpg,320,428,with_mask,25,57,293,367
40.jpg,320,428,without_mask,36,49,279,367
400.jpg,324,493,without_mask,19,73,293,431
401-with-mask.jpg,320,428,with_mask,28,90,312,380
402.jpg,450,800,without_mask,28,60,316,469
4023267.jpg,1500,1120,without_mask,507,44,963,606
403.jpg,345,362,without_mask,80,64,234,248
404.jpg,318,442,without_mask,50,72,252,361
405-with-mask.jpg,271,338,with_mask,77,59,252,258
405.jpg,271,338,without_mask,67,59,231,235
406-with-mask.jpg,300,168,with_mask,51,34,165,156
406.jpg,300,168,without_mask,49,34,159,156
407-with-mask.jpg,320,428,with_mask,46,106,296,365
407.jpg,320,428,without_mask,55,70,292,368
408-with-mask.jpg,427,378,with_mask,102,97,274,260
41-with-mask.jpg,450,400,with_mask,48,64,333,347
411-with-mask.jpg,114,141,with_mask,1,30,95,127
411.jpg,114,141,without_mask,3,20,101,127
412.jpg,354,340,without_mask,13,2,354,309
413-with-mask.jpg,320,428,with_mask,22,132,273,382
413.jpg,320,428,without_mask,17,81,264,383
414-with-mask.jpg,353,344,with_mask,85,91,264,254
414.jpg,353,344,without_mask,78,66,254,254
415-with-mask.jpg,320,433,with_mask,38,90,304,364
418-with-mask.jpg,276,416,with_mask,27,92,209,309
41yveM7kuVL--AC-.jpg,424,461,with_mask,131,61,331,310
42-with-mask.jpg,301,416,with_mask,3,66,279,381
42.jpg,301,416,without_mask,1,53,297,383
421.jpg,275,183,without_mask,75,49,152,127
422-with-mask.jpg,209,267,with_mask,24,55,146,171
422.jpg,209,267,without_mask,31,61,134,177
423.jpg,156,221,without_mask,24,33,132,176
424-with-mask.jpg,640,480,with_mask,5,38,393,380
424.jpg,640,480,without_mask,3,29,365,350
425-with-mask.jpg,320,428,with_mask,49,92,297,366
425.jpg,320,428,without_mask,47,78,290,359
426-with-mask.jpg,511,496,with_mask,55,85,306,328
426.jpg,511,496,without_mask,33,50,287,311
428.jpg,199,254,without_mask,60,15,198,180
430.jpg,491,507,without_mask,51,22,423,429
431-with-mask.jpg,301,499,with_mask,2,129,301,448
431.jpg,301,499,without_mask,8,82,301,438
432-with-mask.jpg,320,433,with_mask,48,81,311,393
434-with-mask.jpg,320,428,with_mask,59,91,299,349
435-with-mask.jpg,960,768,with_mask,182,13,730,692
435.jpg,960,768,without_mask,217,50,669,675
436-with-mask.jpg,183,275,with_mask,48,46,140,159
437.jpg,200,218,without_mask,12,33,147,175
438-with-mask.jpg,194,259,with_mask,59,74,148,183
438.jpg,194,259,without_mask,56,64,148,178
439-with-mask.jpg,250,283,with_mask,33,68,172,200
439.jpg,250,283,without_mask,32,49,174,196
44.jpg,320,428,without_mask,69,115,285,370
441-with-mask.jpg,398,425,with_mask,49,77,243,286
441.jpg,398,425,without_mask,52,82,222,282
442-with-mask.jpg,299,168,with_mask,159,18,233,102
442.jpg,299,168,without_mask,161,23,237,105
443-with-mask.jpg,299,169,with_mask,96,38,217,162
443.jpg,299,169,without_mask,96,43,214,163
445-with-mask.jpg,232,217,with_mask,37,13,205,201
445.jpg,232,217,without_mask,48,30,186,199
446-with-mask.jpg,320,428,with_mask,60,76,279,347
447-with-mask.jpg,405,517,with_mask,66,177,334,486
449.jpg,167,241,without_mask,51,57,108,123
44a0110a-fb6b-4e24-ba06-8c0b91fc06db.jpg,1180,842,without_mask,293,192,742,682
45-with-mask.jpg,320,428,with_mask,57,82,311,374
45.jpg,320,428,without_mask,68,91,313,373
450.jpg,320,428,without_mask,58,91,296,366
4514-face-mask-with-shield.jpg,1200,1200,with_mask,370,197,1049,873
4517-face-mask-with-shield.jpg,1200,1200,with_mask,385,219,1041,952
452.jpg,236,297,without_mask,33,52,194,224
453-with-mask.jpg,320,433,with_mask,39,97,285,366
453.jpg,320,433,without_mask,58,121,284,349
454-with-mask.jpg,320,433,with_mask,48,72,291,337
454.jpg,320,433,without_mask,46,50,294,348
455-with-mask.jpg,320,428,with_mask,60,87,296,376
455.jpg,320,428,without_mask,55,81,309,385
456.jpg,320,428,without_mask,25,75,293,363
457-with-mask.jpg,320,428,with_mask,64,82,294,362
458-with-mask.jpg,538,521,with_mask,44,26,428,448
458.jpg,538,521,without_mask,42,56,402,428
459-with-mask.jpg,480,640,with_mask,94,4,410,395
45e7f325306465-56343bff24656.jpg,666,1000,without_mask,75,143,571,652
460-with-mask.jpg,273,184,with_mask,59,2,200,166
460.jpg,273,184,without_mask,64,16,204,164
461-with-mask.jpg,320,428,with_mask,49,101,293,377
461.jpg,320,428,without_mask,42,101,291,371
462.jpg,189,258,without_mask,12,45,175,243
463-with-mask.jpg,320,433,with_mask,44,97,295,360
463.jpg,320,433,without_mask,41,90,303,358
464.jpg,320,428,without_mask,32,88,287,352
465.jpg,183,275,without_mask,14,32,176,231
466-with-mask.jpg,320,428,with_mask,55,79,302,377
467-with-mask.jpg,298,452,with_mask,35,60,258,327
467.jpg,298,452,without_mask,24,40,258,325
468.jpg,540,960,without_mask,149,100,487,578
471-with-mask.jpg,320,433,with_mask,28,58,293,359
474-with-mask.jpg,320,428,with_mask,50,76,298,349
475-with-mask.jpg,327,433,with_mask,35,86,288,359
475.jpg,327,433,without_mask,41,79,284,372
476.jpg,187,203,without_mask,54,20,144,124
477-with-mask.jpg,320,428,with_mask,56,55,300,353
478-with-mask.jpg,338,443,with_mask,21,37,303,368
478.jpg,338,443,without_mask,23,54,306,370
479-with-mask.jpg,320,428,with_mask,50,73,299,384
48.jpg,306,165,without_mask,108,20,223,145
480.jpg,313,443,without_mask,50,122,267,381
481-with-mask.jpg,225,225,with_mask,37,29,189,215
4866095785-1e9a271efc-b.jpg,902,655,without_mask,241,31,642,555
49.jpg,182,276,without_mask,25,61,166,240
49ed033ddd116bc8c87230493c729cad.jpg,235,288,without_mask,17,19,228,288
4eb86725306465-56343c1478822.jpg,900,1350,without_mask,282,506,713,854
50-best-faces-gayatri-devi-.jpg,600,450,without_mask,261,54,398,237
50-with-mask.jpg,192,262,with_mask,33,13,157,161
50.jpg,192,262,without_mask,29,24,161,159
5022193.jpg,800,600,with_mask,374,45,686,478
5035463427-58547607b3-b.jpg,1024,683,without_mask,455,197,797,604
51pLp2uev9L.jpg,500,500,with_mask,76,70,375,460
55.jpg,540,720,without_mask,183,116,413,386
5594155955-8c0ba32c95-b.jpg,1024,862,without_mask,165,274,747,799
57.jpg,341,538,without_mask,20,117,314,504
582e4853f9b920ca1750ef1d17526e85--smiling-people-unique-face.jpg,236,354,without_mask,44,106,179,246
59-with-mask.jpg,320,428,with_mask,31,99,289,375
6-with-mask.jpg,510,340,with_mask,240,67,391,224
6.jpg,589,439,without_mask,165,106,340,288
61-with-mask.jpg,307,326,with_mask,52,60,251,304
619ZHLsp4ZL--SX342-.jpg,342,342,with_mask,67,56,282,313
61XjbVDoxKL--AC-SL1500-.jpg,1500,1497,with_mask,260,82,1245,1334
63.jpg,191,264,without_mask,33,57,167,198
64-with-mask.jpg,320,428,with_mask,64,63,302,374
66.jpg,263,347,without_mask,15,82,229,306
67-with-mask.jpg,225,225,with_mask,42,5,191,176
67.jpg,225,225,without_mask,48,15,194,170
6d67f5802aa639042ff19602b40b7a81.jpg,427,640,without_mask,70,103,399,444
6eefca69d02aea9bc8bd1fc9759a9721.jpg,692,1029,without_mask,37,92,692,1007
7-with-mask.jpg,327,475,with_mask,19,64,327,394
7.jpg,864,864,without_mask,31,125,450,635
71-with-mask.jpg,351,366,with_mask,50,48,273,290
